City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lulea,65.5842,22.1547,-3.96,86,0,0.51,SE,1680818311
84,bojnurd,37.4747,57.329,8.97,53,20,1.03,IR,1680818312
85,thompson,55.7435,-97.8558,1.09,37,20,2.57,CA,1680818312
86,salalah,17.0151,54.0924,26.04,69,17,1.56,OM,1680818264
87,touros,-5.1989,-35.4608,25.33,86,100,4.18,BR,1680818312
88,alofi,-19.0595,-169.9187,25.94,94,75,2.57,NU,1680818175
89,qaanaaq,77.484,-69.3632,-26.7,76,0,2.1,GL,1680818312
90,kaitangata,-46.2817,169.8464,10.52,75,29,3.17,NZ,1680818313
91,nanga eboko,4.6833,12.3667,21.89,94,66,0.33,CM,1680818313
92,chokurdakh,70.6333,147.9167,-22.31,98,100,1.6,RU,1680818313
93,aquiraz,-3.9014,-38.3911,27.05,86,100,2.03,BR,1680818313
94,trat,12.5,102.5,24.96,92,3,0.89,TH,1680818314
95,vanavara,60.34,102.2797,0.61,94,100,6.2,RU,1680818314
96,sandakan,5.8402,118.1179,25.82,89,20,2.06,MY,1680818314
97,kahului,20.8947,-156.47,27.2,70,20,9.77,US,1680818314
98,mkushi,-13.6202,29.3939,15.03,98,27,1.56,ZM,1680818314
99,constitucion,-35.3333,-72.4167,16.18,76,38,7.05,CL,1680818314
100,celestun,20.8667,-90.4,30.05,63,2,8.26,MX,1680818315
101,aripuana,-9.1667,-60.6333,21.62,100,100,0.78,BR,1680818315
102,ancud,-41.8697,-73.8203,11.21,64,99,2.73,CL,1680818315
103,yulara,-25.2406,130.9889,17.71,42,0,3.17,AU,1680818315
104,tuatapere,-46.1333,167.6833,9.71,60,23,2.0,NZ,1680818315
105,saskylakh,71.9167,114.0833,-20.44,99,100,3.08,RU,1680818315
106,srednekolymsk,67.45,153.6833,-12.41,93,100,0.74,RU,1680818315
107,barrow,71.2906,-156.7887,-22.99,77,0,3.6,US,1680818316
108,castro,-24.7911,-50.0119,17.33,85,100,3.87,BR,1680818156
109,airai,-8.9266,125.4092,16.02,83,100,1.16,TL,1680818316
110,sinnamary,5.3833,-52.95,25.04,73,80,3.92,GF,1680818316
111,havoysund,70.9963,24.6622,2.13,65,100,6.76,NO,1680818317
112,sept-iles,50.2001,-66.3821,0.03,97,100,4.12,CA,1680818317
113,tuktoyaktuk,69.4541,-133.0374,-14.0,78,75,5.66,CA,1680818317
114,grand island,40.925,-98.342,15.97,21,75,9.77,US,1680818071
115,talnakh,69.4865,88.3972,-35.1,99,88,3.12,RU,1680818317
116,okahandja,-21.9833,16.9167,20.54,36,28,3.12,NA,1680818317
117,khasan,42.4308,130.6434,4.67,61,0,2.92,RU,1680818318
118,shache,38.4167,77.2406,6.78,19,14,1.95,CN,1680818318
119,lewisburg,35.4492,-86.7889,11.82,96,100,4.12,US,1680818036
120,port hueneme,34.1478,-119.1951,25.96,37,20,6.17,US,1680818281
121,cidreira,-30.1811,-50.2056,18.84,86,100,4.46,BR,1680818200
122,brae,60.3964,-1.353,5.46,93,100,9.22,GB,1680818318
123,roebourne,-20.7833,117.1333,27.62,53,11,4.01,AU,1680818319
124,ulaangom,49.9811,92.0667,-10.2,95,70,0.54,MN,1680818319
125,toktogul,41.8708,72.9402,8.72,56,85,1.37,KG,1680818319
126,bismil,37.8486,40.6658,12.06,76,4,1.5,TR,1680818319
127,mamakan,57.8161,114.0028,-13.09,88,100,1.38,RU,1680818319
128,dombarovskiy,50.7587,59.5386,9.58,61,39,1.9,RU,1680818319
129,sampit,-2.5333,112.95,22.7,99,100,1.5,ID,1680818320
130,dikson,73.5069,80.5464,-29.44,100,99,3.55,RU,1680818320
131,kavieng,-2.5744,150.7967,27.6,79,100,4.83,PG,1680818320
132,fairbanks,64.8378,-147.7164,-8.55,71,100,3.09,US,1680817991
133,chuy,-33.6971,-53.4616,18.99,59,98,3.26,UY,1680818320
134,jardim,-21.4803,-56.1381,21.45,97,100,1.44,BR,1680818320
135,hofn,64.2539,-15.2082,4.74,67,29,2.8,IS,1680818321
136,cabo san lucas,22.8909,-109.9124,26.45,49,0,2.57,MX,1680818026
137,thinadhoo,0.5333,72.9333,27.86,67,10,1.57,MV,1680818321
138,santiago del estero,-27.7951,-64.2615,24.55,64,53,1.58,AR,1680818321
139,torit,4.4133,32.5678,26.28,48,87,1.61,SS,1680818322
140,chapais,49.7834,-74.8492,1.88,79,99,7.04,CA,1680818322
141,saint-pierre,-21.3393,55.4781,23.82,73,72,3.09,RE,1680818322
142,anchorage,61.2181,-149.9003,-0.49,58,100,3.09,US,1680818244
143,grindavik,63.8424,-22.4338,4.97,81,75,4.12,IS,1680818322
144,guerrero negro,27.9769,-114.0611,21.56,27,0,6.9,MX,1680818322
145,ostrovnoy,68.0531,39.5131,-0.54,87,100,11.92,RU,1680818323
146,pacific grove,36.6177,-121.9166,19.1,68,0,5.66,US,1680818323
147,cabedelo,-6.9811,-34.8339,28.37,81,17,4.37,BR,1680818323
148,tiksi,71.6872,128.8694,-21.22,95,100,2.49,RU,1680818323
149,umarkot,25.3616,69.7362,25.3,42,0,3.63,PK,1680818324
150,lesosibirsk,58.2358,92.4828,0.52,98,100,3.52,RU,1680818325
151,nemuro,43.3236,145.575,5.41,99,100,10.32,JP,1680818325
152,perepravnaya,44.3366,40.7849,8.36,95,100,0.22,RU,1680818325
153,evensk,61.95,159.2333,-11.08,87,92,1.26,RU,1680818325
154,omboue,-1.5746,9.2618,26.56,85,100,2.33,GA,1680818325
155,leningradskiy,69.3833,178.4167,-23.12,93,46,1.89,RU,1680818325
156,fare,-16.7,-151.0167,28.24,74,100,5.17,PF,1680818326
157,tucuman,-26.8241,-65.2226,25.0,65,40,2.06,AR,1680818326
158,dunedin,-45.8742,170.5036,10.3,59,7,2.18,NZ,1680818326
159,portland,45.5234,-122.6762,12.33,93,100,6.17,US,1680818146
160,alta gracia,-31.6529,-64.4283,25.43,75,69,1.22,AR,1680818326
161,mar del plata,-38.0023,-57.5575,20.61,81,0,7.15,AR,1680818254
162,severo-kurilsk,50.6789,156.125,0.29,85,100,4.47,RU,1680818327
163,torbay,47.6666,-52.7314,1.43,70,75,3.6,CA,1680818327
164,esperance,-33.8667,121.9,16.7,55,100,2.63,AU,1680818327
165,cayenne,4.9333,-52.3333,27.02,69,40,3.6,GF,1680818327
166,zhuhai,22.2769,113.5678,19.88,82,40,9.26,CN,1680818328
167,mikropolis,41.1935,23.8157,6.17,83,59,1.37,GR,1680818328
168,kalmar,56.6616,16.3616,0.54,95,63,2.06,SE,1680818328
169,matay,28.419,30.7792,19.83,28,0,1.83,EG,1680818328
170,jambi,-1.6,103.6167,22.94,98,98,1.22,ID,1680818329
171,marsa matruh,31.3525,27.2453,23.11,18,0,9.26,EG,1680818329
172,cairns,-16.9167,145.7667,27.26,90,45,0.51,AU,1680818329
173,komsomolskiy,40.4272,71.7189,11.4,66,100,3.09,UZ,1680818329
174,plunge,55.9114,21.8442,3.33,98,100,4.06,LT,1680818329
175,longyearbyen,78.2186,15.6401,2.91,87,75,2.06,SJ,1680818206
176,byron bay,-28.65,153.6167,19.28,74,24,2.09,AU,1680818330
177,taltal,-25.4,-70.4833,21.18,75,22,2.7,CL,1680817821
178,muros,42.7762,-9.0603,13.24,60,61,3.86,ES,1680818330
179,tilichiki,60.4667,166.1,-7.38,81,100,2.13,RU,1680818330
180,husavik,66.0449,-17.3389,-1.93,90,38,2.1,IS,1680818331
181,san jeronimo,-11.9472,-75.2829,14.94,67,81,1.26,PE,1680818331
182,pisco,-13.7,-76.2167,26.03,73,2,11.83,PE,1680818331
183,isabela,6.7085,121.9711,22.03,81,52,0.84,PH,1680818331
184,kamaishi,39.2667,141.8833,13.38,94,99,5.16,JP,1680818331
185,vostok,46.4856,135.8833,0.83,99,100,1.76,RU,1680818332
186,ylivieska,64.0833,24.55,0.49,91,100,3.21,FI,1680818332
187,lamas,-6.4167,-76.5333,29.26,90,98,1.04,PE,1680818332
188,kapit,2.0167,112.9333,21.97,100,100,0.72,MY,1680818332
189,iqaluit,63.7506,-68.5145,-17.15,66,20,7.72,CA,1680818333
190,andenes,69.3143,16.1194,4.4,70,9,3.09,NO,1680818333
191,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1680818332
192,pasni,25.2631,63.471,23.5,65,0,2.37,PK,1680818333
193,bengkulu,-3.8004,102.2655,23.5,90,100,1.58,ID,1680818333
194,les cayes,18.2,-73.75,27.96,53,21,0.94,HT,1680818333
195,melita,49.2681,-100.9967,-4.22,84,27,2.0,CA,1680818334
196,sur,22.5667,59.5289,24.92,62,0,5.16,OM,1680818334
197,palana,59.1167,159.9667,-7.06,91,99,6.12,RU,1680818334
198,rawson,-43.3002,-65.1023,18.47,53,2,4.45,AR,1680818049
199,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1680818334
200,leshukonskoye,64.8989,45.7622,-16.42,99,48,1.57,RU,1680818334
201,gizo,-8.103,156.8419,28.45,72,94,3.71,SB,1680818335
202,kearney,40.6995,-99.0815,15.31,21,40,7.2,US,1680818335
203,kirkwood,38.5834,-90.4068,12.97,38,75,3.09,US,1680818177
204,teya,60.3778,92.6267,-14.1,88,100,3.68,RU,1680818335
205,vryburg,-26.9566,24.7284,18.3,44,2,3.49,ZA,1680818335
206,merritt island,28.5392,-80.672,28.91,64,40,5.66,US,1680818335
207,kapaa,22.0752,-159.319,25.99,86,75,8.75,US,1680817858
208,port hedland,-20.3167,118.5667,26.03,83,20,3.6,AU,1680818336
209,fortuna,40.5982,-124.1573,12.17,73,100,1.79,US,1680818335
210,ribeira grande,38.5167,-28.7,15.99,88,79,7.6,PT,1680818336
211,pandan,14.0453,124.1694,24.67,79,100,1.97,PH,1680818336
212,ziro,27.6333,93.8333,8.36,92,81,1.13,IN,1680818336
213,moerai,-22.4333,-151.3333,26.84,73,95,2.92,PF,1680818336
214,mount isa,-20.7333,139.5,21.87,68,59,0.0,AU,1680818337
215,flin flon,54.7682,-101.865,1.91,32,0,2.57,CA,1680818290
216,mariental,-24.6333,17.9667,25.91,29,88,5.47,NA,1680818337
217,merauke,-8.4667,140.3333,26.29,86,100,5.2,ID,1680818337
218,lingao,19.9103,109.6859,22.3,85,49,3.97,CN,1680818337
219,constantine,36.365,6.6147,7.67,76,0,1.54,DZ,1680818337
220,colac,-38.3333,143.5833,15.09,97,100,1.52,AU,1680818338
221,sitka,57.0531,-135.33,7.94,61,100,4.12,US,1680818338
222,half moon bay,37.4636,-122.4286,20.57,57,0,7.72,US,1680818338
223,doha,25.2867,51.5333,20.99,73,0,1.03,QA,1680818196
224,agirish,61.9247,63.0231,-25.13,99,5,0.89,RU,1680818339
225,alice springs,-23.7,133.8833,21.79,47,6,4.02,AU,1680818110
226,picota,-6.9197,-76.3304,33.27,95,94,0.22,PE,1680818339
227,balta,47.9355,29.6198,3.6,94,100,3.46,UA,1680818339
228,harper,4.375,-7.7169,27.03,83,81,3.25,LR,1680818339
229,macae,-22.3708,-41.7869,25.86,89,75,2.06,BR,1680818075
230,hualmay,-11.0964,-77.6139,26.22,77,36,5.14,PE,1680818340
231,broken hill,-31.95,141.4333,15.09,71,0,4.48,AU,1680818340
232,den helder,52.9599,4.7593,8.34,94,100,5.36,NL,1680818340
233,balkanabat,39.5108,54.3671,18.65,38,60,3.78,TM,1680818340
234,avanigadda,16.0215,80.9181,25.36,89,6,0.55,IN,1680818340
235,norrkoping,58.5942,16.1826,-0.45,82,0,0.0,SE,1680818079
236,pangody,65.85,74.4859,-22.05,96,83,5.99,RU,1680818340
237,otuzco,-7.9,-78.5833,10.61,94,99,2.17,PE,1680818341
238,vung tau,10.346,107.0843,27.07,78,8,5.01,VN,1680818341
239,aksu,41.1231,80.2644,7.06,18,44,1.74,CN,1680818341
240,raudeberg,61.9875,5.1352,3.37,65,98,4.31,NO,1680818341
